City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Rawson,AR,2022-02-02 06:32:06,-43.3002,-65.1023,70.07,39,93,14.23
232,Langsa,ID,2022-02-02 06:36:43,4.4683,97.9683,88.65,56,100,7.54
233,Surgana,IN,2022-02-02 06:36:43,20.5667,73.6167,83.32,20,20,6.62
234,Shaunavon,CA,2022-02-02 06:36:43,49.6501,-108.4181,-6.02,96,100,13.33
235,Huarmey,PE,2022-02-02 06:36:44,-10.0681,-78.1522,70.54,81,100,8.55
236,Chumphon,TH,2022-02-02 06:36:44,10.3333,98.8333,87.91,39,27,7.87
237,Tateyama,JP,2022-02-02 06:36:44,34.9833,139.8667,54.01,44,100,7.18
238,Dikson,RU,2022-02-02 06:36:45,73.5069,80.5464,0.86,94,99,15.57
239,Sao Lourenco Do Sul,BR,2022-02-02 06:35:09,-31.3653,-51.9783,67.32,86,0,6.58
240,Airai,TL,2022-02-02 06:36:45,-8.9266,125.4092,73.33,57,73,4.83
241,Hadsund,DK,2022-02-02 06:36:46,56.7148,10.1168,35.78,80,59,15.12
242,Roald,NO,2022-02-02 06:36:46,62.5833,6.1333,36.0,60,40,16.11
243,Coahuayana,MX,2022-02-02 06:36:46,18.7333,-103.6833,65.98,68,0,4.23
244,Zyryanka,RU,2022-02-02 06:36:46,65.75,150.85,-16.8,98,100,4.9
245,Cayenne,GF,2022-02-02 06:36:47,4.9333,-52.3333,75.09,92,100,4.0
246,Alofi,NU,2022-02-02 06:36:47,-19.0595,-169.9187,75.09,94,71,3.44
247,Paamiut,GL,2022-02-02 06:36:48,61.994,-49.6678,-0.4,93,53,8.46
248,Lompoc,US,2022-02-02 06:36:48,34.6391,-120.4579,54.1,54,0,3.44
249,Santa Maria,BR,2022-02-02 06:36:48,-29.6842,-53.8069,65.52,80,0,4.5
250,Kurumkan,RU,2022-02-02 06:36:49,54.3,110.3,-6.29,94,74,0.87
251,Bonthe,SL,2022-02-02 06:36:49,7.5264,-12.505,74.01,96,61,2.82
252,Puerto Escondido,MX,2022-02-02 06:36:49,15.85,-97.0667,73.69,80,0,5.99
253,Kimamba,TZ,2022-02-02 06:36:49,-6.7833,37.1333,72.45,86,100,1.79
254,Thompson,CA,2022-02-02 06:36:50,55.7435,-97.8558,-25.44,62,0,10.36
255,Itaituba,BR,2022-02-02 06:36:50,-4.2761,-55.9836,72.55,93,100,2.59
256,Sredniy Ikorets,RU,2022-02-02 06:32:12,51.0675,39.7584,27.57,97,100,4.32
257,Namatanai,PG,2022-02-02 06:36:51,-3.6667,152.4333,80.35,79,100,9.06
258,Sharanga,RU,2022-02-02 06:36:51,57.1775,46.5396,24.42,91,100,11.74
259,Lebu,CL,2022-02-02 06:36:52,-37.6167,-73.65,56.89,95,23,7.25
260,Asfi,MA,2022-02-02 06:36:52,32.2994,-9.2372,58.71,43,7,8.7
261,Geraldton,AU,2022-02-02 06:36:52,-28.7667,114.6,109.81,11,0,17.27
262,Mar Del Plata,AR,2022-02-02 06:36:53,-38.0023,-57.5575,67.08,91,100,0.0
263,Sarahan,IN,2022-02-02 06:36:53,31.5167,77.8,48.74,36,99,2.35
264,Vestmannaeyjar,IS,2022-02-02 06:36:53,63.4427,-20.2734,36.77,67,100,11.63
265,Canakkale,TR,2022-02-02 06:36:54,40.0833,26.8333,45.18,95,100,5.12
266,Ghanzi,BW,2022-02-02 06:36:54,-21.5667,21.7833,74.48,69,7,14.83
267,Bambanglipuro,ID,2022-02-02 06:36:54,-7.95,110.2833,85.23,67,45,6.93
268,Evensk,RU,2022-02-02 06:36:55,61.95,159.2333,18.61,76,100,18.21
269,Herat,AF,2022-02-02 06:34:03,34.5,62.0,44.01,47,8,17.92
270,Hualmay,PE,2022-02-02 06:36:55,-11.0964,-77.6139,69.64,83,86,8.14
271,Kasama,ZM,2022-02-02 06:37:55,-10.2129,31.1808,67.84,88,98,0.89
272,Saint-Francois,FR,2022-02-02 06:37:56,46.4154,3.9054,45.84,93,100,8.05
273,Havre-Saint-Pierre,CA,2022-02-02 06:37:56,50.2334,-63.5986,15.8,78,100,17.27
274,Atar,MR,2022-02-02 06:37:56,20.5169,-13.0499,72.34,16,100,12.39
275,Jiangyou,CN,2022-02-02 06:37:57,31.7667,104.7167,48.2,54,100,3.89
276,Serrinha,BR,2022-02-02 06:37:57,-11.6642,-39.0075,68.83,96,29,2.68
277,Fuyu,CN,2022-02-02 06:37:58,45.1833,124.8167,9.0,78,17,8.39
278,Venkatagiri,IN,2022-02-02 06:37:58,13.9667,79.5833,84.67,45,72,6.46
279,Bara,NG,2022-02-02 06:37:58,10.3744,10.7288,64.4,21,9,4.72
280,Faya,SA,2022-02-02 06:37:59,18.3851,42.4509,60.91,35,1,2.19
281,Shitkino,RU,2022-02-02 06:37:59,56.3703,98.3543,13.06,86,60,0.89
282,Kvarkeno,RU,2022-02-02 06:37:59,52.0833,59.725,24.75,96,100,10.49
283,Sri Aman,MY,2022-02-02 06:38:00,1.2376,111.4621,89.65,70,40,2.3
284,Lichuan,CN,2022-02-02 06:38:00,30.3,108.85,34.68,85,100,1.14
285,Innisfail,AU,2022-02-02 06:38:00,-17.5333,146.0333,83.64,84,100,4.68
286,Morondava,MG,2022-02-02 06:38:01,-20.2833,44.2833,85.71,70,5,5.44
287,Tual,ID,2022-02-02 06:38:01,-5.6667,132.75,83.01,70,100,9.64
288,Namibe,AO,2022-02-02 06:38:01,-15.1961,12.1522,73.2,63,100,10.07
